"x","y","Run","Group"
0.298229994221755,-0.157256967450979,"SRR10802220","Health"
-0.180885999621853,-0.00122984822786398,"SRR10802221","Health"
0.122858392236661,-0.0498642088300466,"SRR10802222","Health"
-0.368203472765375,0.0129188336894909,"SRR10802223","Health"
-0.0673428243771767,0.172772651274541,"SRR10802224","Health"
-0.0996564718787792,-0.0834966500704042,"SRR10802225","Health"
-0.0936863014551641,0.0598935612902384,"SRR10802226","Health"
-0.176802671813741,0.0736254722159639,"SRR10802227","GERD"
-0.182133303986082,0.0435014581574512,"SRR10802228","GERD"
-0.0440495762149734,-0.00552034565909746,"SRR10802229","GERD"
0.32623927281674,-0.0710037464086789,"SRR10802230","GERD"
0.129340185624167,-0.140972026277985,"SRR10802231","GERD"
0.312123813310066,0.151231237146597,"SRR10802232","GERD"
-0.0297281764537646,-0.0790559650912502,"SRR10802233","Health"
0.277849525642252,-0.106505801428254,"SRR10802234","GERD"
0.0901403218272978,0.232239590040278,"SRR10802235","GERD"
-0.136088388305007,0.266804754514967,"SRR10802236","GERD"
0.0235701666382751,-0.0644373194678727,"SRR10802237","GERD"
0.200855464605078,0.318180948324232,"SRR10802238","GERD"
0.193001001615744,0.0528193551746705,"SRR10802239","GERD"
-0.247117023633498,-0.153973401323161,"SRR10802240","GERD"
-0.259381095747325,-0.107567781018582,"SRR10802241","GERD"
0.13464384709321,0.0886268255076937,"SRR10802242","Health"
-0.222636756609508,-0.120476946994777,"SRR10802243","Health"
0.237581658719567,-0.27791913844819,"SRR10802244","Health"
-0.238721581488564,-0.0533345406389773,"SRR10802245","Health"
