"OTU","Abundance","Sample","Group"
"p__Patescibacteria",0.0846706081081081,"SRR10802232","GERD"
"p__Patescibacteria",0.0834830684174153,"SRR10802239","GERD"
"p__Actinobacteriota",0.082930200414651,"SRR10802239","GERD"
"p__Fusobacteriota",0.0829139072847682,"SRR10802228","GERD"
"p__Actinobacteriota",0.0823841059602649,"SRR10802228","GERD"
"p__Actinobacteriota",0.0809968847352025,"SRR10802236","GERD"
"p__Fusobacteriota",0.0785472972972973,"SRR10802232","GERD"
"p__Fusobacteriota",0.0778631821675634,"SRR10802233","Health"
"p__Proteobacteria",0.0767729342875732,"SRR10802230","GERD"
"p__Proteobacteria",0.0751977181382082,"SRR10802225","Health"
"p__Actinobacteriota",0.0724254998113919,"SRR10802241","GERD"
"p__Fusobacteriota",0.0711503894547633,"SRR10802238","GERD"
"p__Proteobacteria",0.0707671043538355,"SRR10802239","GERD"
"p__Actinobacteriota",0.0675105485232067,"SRR10802245","Health"
"p__Actinobacteriota",0.0665110851808635,"SRR10802225","Health"
"p__Actinobacteriota",0.0659210526315789,"SRR10802220","Health"
"p__Fusobacteriota",0.0653021442495127,"SRR10802234","GERD"
"p__Proteobacteria",0.0648960739030023,"SRR10802221","Health"
"p__Fusobacteriota",0.0647635279079676,"SRR10802226","Health"
"p__Proteobacteria",0.0631741140215717,"SRR10802235","GERD"
"p__Patescibacteria",0.0629908376963351,"SRR10802237","GERD"
"p__Fusobacteriota",0.062933025404157,"SRR10802221","Health"
"p__Proteobacteria",0.0623841059602649,"SRR10802228","GERD"
"p__Fusobacteriota",0.0614862316107129,"SRR10802241","GERD"
"p__Proteobacteria",0.0604291845493562,"SRR10802224","Health"
"p__Fusobacteriota",0.0602273643473353,"SRR10802240","GERD"
"p__Patescibacteria",0.0600111389585074,"SRR10802234","GERD"
"p__Fusobacteriota",0.0592950932964755,"SRR10802239","GERD"
"p__Patescibacteria",0.0575194727381666,"SRR10802238","GERD"
"p__Fusobacteriota",0.0569620253164557,"SRR10802245","Health"
"p__Proteobacteria",0.0563766891891892,"SRR10802232","GERD"
"p__Proteobacteria",0.0560273649445624,"SRR10802223","Health"
"p__Actinobacteriota",0.0558292282430213,"SRR10802222","Health"
"p__Patescibacteria",0.0555765120080473,"SRR10802241","GERD"
"p__Patescibacteria",0.0552016985138004,"SRR10802223","Health"
"p__Patescibacteria",0.0551963048498845,"SRR10802221","Health"
"p__Fusobacteriota",0.0543684710351377,"SRR10802229","GERD"
"p__Patescibacteria",0.0543252171785146,"SRR10802231","GERD"
"p__Fusobacteriota",0.0542774982027318,"SRR10802236","GERD"
"p__Actinobacteriota",0.052971055389825,"SRR10802240","GERD"
"p__Patescibacteria",0.0525919228450874,"SRR10802245","Health"
"p__Fusobacteriota",0.0510825878387139,"SRR10802225","Health"
"p__Patescibacteria",0.0492499292386074,"SRR10802242","Health"
"p__Patescibacteria",0.0463054187192118,"SRR10802222","Health"
"p__Actinobacteriota",0.0462292288027269,"SRR10802226","Health"
"p__Proteobacteria",0.0453947368421053,"SRR10802220","Health"
"p__Fusobacteriota",0.0453218884120172,"SRR10802224","Health"
"p__Actinobacteriota",0.0450323339212228,"SRR10802244","Health"
"p__Patescibacteria",0.0442384105960265,"SRR10802228","GERD"
"p__Proteobacteria",0.0420361247947455,"SRR10802222","Health"
"p__Patescibacteria",0.039843536796143,"SRR10802227","GERD"
"p__Patescibacteria",0.039300263599329,"SRR10802236","GERD"
"p__Proteobacteria",0.0392648287385129,"SRR10802234","GERD"
"p__Proteobacteria",0.0369374469289556,"SRR10802242","Health"
"p__Proteobacteria",0.036399041342121,"SRR10802238","GERD"
"p__Patescibacteria",0.0357977908570507,"SRR10802240","GERD"
"p__Patescibacteria",0.0355244392583949,"SRR10802225","Health"
"p__Proteobacteria",0.0347815764482431,"SRR10802229","GERD"
"p__Patescibacteria",0.0335357438586807,"SRR10802243","Health"
"p__Patescibacteria",0.032618025751073,"SRR10802224","Health"
"p__Patescibacteria",0.0309761721752498,"SRR10802233","Health"
"p__Patescibacteria",0.0306878306878307,"SRR10802244","Health"
"p__Patescibacteria",0.0303947368421053,"SRR10802220","Health"
"p__Proteobacteria",0.0303829709815337,"SRR10802227","GERD"
"p__Fusobacteriota",0.0301958008964378,"SRR10802223","Health"
"p__Patescibacteria",0.0290796761823605,"SRR10802226","Health"
"p__Patescibacteria",0.0252849002849003,"SRR10802229","GERD"
"p__Spirochaetota",0.0244708185488805,"SRR10802231","GERD"
"p__Campilobacterota",0.0195179306290417,"SRR10802244","Health"
"p__Campilobacterota",0.0173732659146895,"SRR10802225","Health"
"p__Campilobacterota",0.0171793193717277,"SRR10802237","GERD"
"p__Campilobacterota",0.016480686695279,"SRR10802224","Health"
"p__Campilobacterota",0.0162182936202921,"SRR10802233","Health"
"p__Patescibacteria",0.0161787365177196,"SRR10802235","GERD"
"p__Spirochaetota",0.0146651270207852,"SRR10802221","Health"
"p__Campilobacterota",0.0136592379583034,"SRR10802236","GERD"
"p__Campilobacterota",0.0134210526315789,"SRR10802220","Health"
"p__Spirochaetota",0.0123412413132039,"SRR10802236","GERD"
"p__Campilobacterota",0.0114942528735632,"SRR10802222","Health"
"p__Campilobacterota",0.0110844817255842,"SRR10802238","GERD"
"p__Campilobacterota",0.0106427090532135,"SRR10802239","GERD"
"p__Spirochaetota",0.0101986754966887,"SRR10802228","GERD"
"p__Synergistota",0.00982506589983225,"SRR10802236","GERD"
"p__Spirochaetota",0.00908233073838169,"SRR10802223","Health"
"p__Campilobacterota",0.00873455475074563,"SRR10802226","Health"
"p__Campilobacterota",0.00860927152317881,"SRR10802228","GERD"
"p__Campilobacterota",0.00843881856540084,"SRR10802245","Health"
"p__Campilobacterota",0.00835421888053467,"SRR10802234","GERD"
"p__Campilobacterota",0.00770830784289734,"SRR10802231","GERD"
"p__Campilobacterota",0.00689655172413793,"SRR10802230","GERD"
"p__Synergistota",0.00672947510094213,"SRR10802231","GERD"
"p__Patescibacteria",0.0066363044892648,"SRR10802230","GERD"
"p__Spirochaetota",0.00641025641025641,"SRR10802229","GERD"
"p__Spirochaetota",0.00634920634920635,"SRR10802244","Health"
"p__Campilobacterota",0.00597072419106317,"SRR10802235","GERD"
"p__Campilobacterota",0.00500318384426453,"SRR10802227","GERD"
"p__Spirochaetota",0.00447379633574776,"SRR10802226","Health"
"p__Spirochaetota",0.00445738197034476,"SRR10802227","GERD"
"p__Spirochaetota",0.00438124519600307,"SRR10802233","Health"
"p__Campilobacterota",0.00427511630831133,"SRR10802241","GERD"
"p__Campilobacterota",0.00427350427350427,"SRR10802229","GERD"
"p__Campilobacterota",0.00372619376207563,"SRR10802243","Health"
"p__Spirochaetota",0.00342105263157895,"SRR10802220","Health"
"p__Campilobacterota",0.00283085633404105,"SRR10802223","Health"
"p__Campilobacterota",0.00240588734786301,"SRR10802242","Health"
"p__Campilobacterota",0.00219399538106236,"SRR10802221","Health"
"p__Synergistota",0.00213675213675214,"SRR10802229","GERD"
"p__Spirochaetota",0.00198131899235777,"SRR10802242","Health"
"p__Synergistota",0.00196304849884527,"SRR10802221","Health"
"p__Synergistota",0.00193501572200274,"SRR10802240","GERD"
"p__Campilobacterota",0.00185439006691929,"SRR10802240","GERD"
"p__Cyanobacteria",0.00172837260074593,"SRR10802227","GERD"
"p__Cyanobacteria",0.00167745027558112,"SRR10802236","GERD"
"p__Desulfobacterota",0.00152851263962375,"SRR10802244","Health"
"p__Spirochaetota",0.00152038700760194,"SRR10802239","GERD"
"p__Spirochaetota",0.00143135979180221,"SRR10802230","GERD"
"p__Synergistota",0.00129747581976881,"SRR10802223","Health"
"p__Spirochaetota",0.00120938482625171,"SRR10802240","GERD"
