"OTU","Abundance","Sample","Group"
"o__RF39",0,"SRR10802227","GERD"
"o__RF39",0,"SRR10802238","GERD"
"o__RF39",0,"SRR10802224","Health"
"o__RF39",0,"SRR10802229","GERD"
"o__RF39",0,"SRR10802243","Health"
"o__RF39",0,"SRR10802225","Health"
"o__RF39",0,"SRR10802222","Health"
"o__RF39",0,"SRR10802230","GERD"
"o__RF39",0,"SRR10802236","GERD"
"o__RF39",0,"SRR10802241","GERD"
"o__RF39",0,"SRR10802223","Health"
"o__RF39",0,"SRR10802242","Health"
"o__RF39",0,"SRR10802237","GERD"
"o__RF39",0,"SRR10802232","GERD"
"o__RF39",0,"SRR10802235","GERD"
"o__RF39",0,"SRR10802226","Health"
"o__Rhodospirillales",0,"SRR10802226","Health"
"o__Rhodospirillales",0,"SRR10802240","GERD"
"o__Rhodospirillales",0,"SRR10802243","Health"
"o__Rhodospirillales",0,"SRR10802245","Health"
"o__Rhodospirillales",0,"SRR10802239","GERD"
"o__Rhodospirillales",0,"SRR10802241","GERD"
"o__Rhodospirillales",0,"SRR10802223","Health"
"o__Rhodospirillales",0,"SRR10802238","GERD"
"o__Rhodospirillales",0,"SRR10802222","Health"
"o__Rhodospirillales",0,"SRR10802236","GERD"
"o__Rhodospirillales",0,"SRR10802230","GERD"
"o__Rhodospirillales",0,"SRR10802229","GERD"
"o__Rhodospirillales",0,"SRR10802228","GERD"
"o__Rhodospirillales",0,"SRR10802244","Health"
"o__Rhodospirillales",0,"SRR10802231","GERD"
"o__Rhodospirillales",0,"SRR10802221","Health"
"o__Rhodospirillales",0,"SRR10802234","GERD"
"o__Rhodospirillales",0,"SRR10802242","Health"
"o__Rhodospirillales",0,"SRR10802227","GERD"
"o__Rhodospirillales",0,"SRR10802224","Health"
"o__Rhodospirillales",0,"SRR10802220","Health"
"o__Rhodospirillales",0,"SRR10802225","Health"
"o__Rhodospirillales",0,"SRR10802237","GERD"
"o__Rhodospirillales",0,"SRR10802232","GERD"
"o__Rhodospirillales",0,"SRR10802235","GERD"
"o__Sphingobacteriales",0,"SRR10802224","Health"
"o__Sphingobacteriales",0,"SRR10802245","Health"
"o__Sphingobacteriales",0,"SRR10802227","GERD"
"o__Sphingobacteriales",0,"SRR10802237","GERD"
"o__Sphingobacteriales",0,"SRR10802243","Health"
"o__Sphingobacteriales",0,"SRR10802239","GERD"
"o__Sphingobacteriales",0,"SRR10802238","GERD"
"o__Sphingobacteriales",0,"SRR10802229","GERD"
"o__Sphingobacteriales",0,"SRR10802232","GERD"
"o__Sphingobacteriales",0,"SRR10802234","GERD"
"o__Sphingobacteriales",0,"SRR10802241","GERD"
"o__Sphingobacteriales",0,"SRR10802225","Health"
"o__Sphingobacteriales",0,"SRR10802235","GERD"
"o__Sphingobacteriales",0,"SRR10802231","GERD"
"o__Sphingobacteriales",0,"SRR10802222","Health"
"o__Sphingobacteriales",0,"SRR10802242","Health"
"o__Sphingobacteriales",0,"SRR10802220","Health"
"o__Sphingomonadales",0,"SRR10802222","Health"
"o__Sphingomonadales",0,"SRR10802240","GERD"
"o__Sphingomonadales",0,"SRR10802232","GERD"
"o__Sphingomonadales",0,"SRR10802236","GERD"
"o__Sphingomonadales",0,"SRR10802225","Health"
"o__Sphingomonadales",0,"SRR10802224","Health"
"o__Sphingomonadales",0,"SRR10802221","Health"
"o__Sphingomonadales",0,"SRR10802242","Health"
"o__Sphingomonadales",0,"SRR10802243","Health"
"o__Sphingomonadales",0,"SRR10802227","GERD"
"o__Sphingomonadales",0,"SRR10802245","Health"
"o__Sphingomonadales",0,"SRR10802223","Health"
"o__Sphingomonadales",0,"SRR10802228","GERD"
"o__Sphingomonadales",0,"SRR10802229","GERD"
"o__Sphingomonadales",0,"SRR10802235","GERD"
"o__Sphingomonadales",0,"SRR10802234","GERD"
"o__Sphingomonadales",0,"SRR10802230","GERD"
"o__Sphingomonadales",0,"SRR10802220","Health"
"o__Sphingomonadales",0,"SRR10802238","GERD"
"o__Sphingomonadales",0,"SRR10802226","Health"
"o__Sphingomonadales",0,"SRR10802231","GERD"
"o__Sphingomonadales",0,"SRR10802239","GERD"
"o__Sphingomonadales",0,"SRR10802241","GERD"
"o__Sphingomonadales",0,"SRR10802237","GERD"
"o__Sphingomonadales",0,"SRR10802244","Health"
"o__Spirochaetales",0,"SRR10802238","GERD"
"o__Spirochaetales",0,"SRR10802222","Health"
"o__Spirochaetales",0,"SRR10802243","Health"
"o__Spirochaetales",0,"SRR10802245","Health"
"o__Spirochaetales",0,"SRR10802224","Health"
"o__Spirochaetales",0,"SRR10802234","GERD"
"o__Spirochaetales",0,"SRR10802237","GERD"
"o__Spirochaetales",0,"SRR10802232","GERD"
"o__Spirochaetales",0,"SRR10802235","GERD"
"o__Staphylococcales",0,"SRR10802232","GERD"
"o__Synergistales",0,"SRR10802237","GERD"
"o__Synergistales",0,"SRR10802243","Health"
"o__Synergistales",0,"SRR10802234","GERD"
"o__Synergistales",0,"SRR10802220","Health"
"o__Synergistales",0,"SRR10802241","GERD"
"o__Synergistales",0,"SRR10802222","Health"
"o__Synergistales",0,"SRR10802232","GERD"
"o__Synergistales",0,"SRR10802238","GERD"
"o__Synergistales",0,"SRR10802224","Health"
"o__Synergistales",0,"SRR10802233","Health"
"o__Synergistales",0,"SRR10802239","GERD"
"o__Synergistales",0,"SRR10802244","Health"
"o__Synergistales",0,"SRR10802225","Health"
"o__Synergistales",0,"SRR10802245","Health"
"o__Synergistales",0,"SRR10802235","GERD"
"o__Synergistales",0,"SRR10802227","GERD"
"Unknown",0,"SRR10802234","GERD"
"Unknown",0,"SRR10802241","GERD"
"Unknown",0,"SRR10802237","GERD"
