#OTUID	taxonomy	confidence
127d8eb8cb590d556aecc38a79c1595f	d__Bacteria; p__Fusobacteriota; c__Fusobacteriia; o__Fusobacteriales; f__Fusobacteriaceae; g__Fusobacterium; s__Fusobacterium_periodonticum	0.825227252320758
9b3565f7dd7cfa61579a09f4b8be1fe0	d__Bacteria; p__Firmicutes; c__Bacilli; o__Staphylococcales; f__Gemellaceae; g__Gemella; s__Gemella_haemolysans	0.7262461979280049
fd900733a428f0053786f7346d4ecc27	d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Carnobacteriaceae; g__Granulicatella	0.9896034264409336
79afdb1ab4509d1fc243bbcf45ca2bfc	d__Bacteria; p__Firmicutes; c__Clostridia; o__Peptostreptococcales-Tissierellales; f__Peptostreptococcaceae; g__Peptostreptococcus; s__Peptostreptococcus_stomatis	0.7672156448635877
d8ddaafca96a15b033714f3a31c9731d	d__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridia_UCG-014; f__Clostridia_UCG-014; g__Clostridia_UCG-014	0.9999999959257145
f4001291388b462a1726937b48f8a210	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella; s__Prevotella_salivae	0.9999930966920195
65426c2d4a5ce363ca1da11fa8f24e00	d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Carnobacteriaceae; g__Granulicatella	0.9893879216755282
fac5b3cf573e4b72e9552c2865ca59a8	d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Micrococcales; f__Micrococcaceae; g__Rothia	0.9999983163753485
3898fd20a890ff93c0b1c821301c3ff1	d__Bacteria; p__Firmicutes; c__Negativicutes; o__Veillonellales-Selenomonadales; f__Selenomonadaceae; g__Selenomonas; s__Selenomonas_sp.	0.9642608099041231
1b3880efcac51f6c95c5865e5fe00b64	d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae; g__Lachnoanaerobaculum	0.9999988004504266
87d9126084d28cf96bae1125a89bb8e3	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Porphyromonadaceae; g__Porphyromonas; s__Porphyromonas_pasteri	0.9300796215044711
eb7ba6f52af7975627e7779e559d0ef3	d__Bacteria; p__Actinobacteriota; c__Coriobacteriia; o__Coriobacteriales; f__Atopobiaceae; g__Atopobium	0.9999592624646559
938622768faadc880a6a6518fa6dda22	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Neisseriaceae; g__Neisseria	0.9999849747045201
98ed6d976cdc05b3b5f4477436f09ea0	d__Bacteria; p__Firmicutes; c__Negativicutes; o__Veillonellales-Selenomonadales; f__Veillonellaceae; g__Veillonella; s__Veillonella_atypica	0.7732729174780119
1a9af3263493eb23179d441b25b7cde1	d__Bacteria; p__Actinobacteriota; c__Coriobacteriia; o__Coriobacteriales; f__Atopobiaceae; g__Atopobium	0.9999488852854093
9843f7dff9c514040e227dce161e0f09	d__Bacteria; p__Campilobacterota; c__Campylobacteria; o__Campylobacterales; f__Campylobacteraceae; g__Campylobacter; s__Campylobacter_concisus	0.8307197352542901
fb4d525aab1ccbab925d8046047273f2	d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Micrococcales; f__Micrococcaceae; g__Rothia	0.9999983373666461
94605c1da38776330c8a4126f2f65980	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Porphyromonadaceae; g__Porphyromonas; s__Porphyromonas_pasteri	0.9816236250080791
91b6bed74f7b866abccb414f964f027b	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Neisseriaceae; g__Neisseria	0.9999773163385984
2ade509e09be99273f71098c492032e8	d__Bacteria; p__Fusobacteriota; c__Fusobacteriia; o__Fusobacteriales; f__Leptotrichiaceae; g__Leptotrichia	0.9999999998464267
0967ff97e79f505a50f1d0fe33202228	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Neisseriaceae; g__Neisseria	0.9999860575926416
bccabbad1c3b5eb1cf83fec6922b5f2e	d__Bacteria; p__Patescibacteria; c__Saccharimonadia; o__Saccharimonadales; f__Saccharimonadaceae; g__TM7x	0.8961383384326863
418cab4a56788dcb8c0ff166c393b95b	d__Bacteria; p__Fusobacteriota; c__Fusobacteriia; o__Fusobacteriales; f__Leptotrichiaceae; g__Leptotrichia	0.9999999983816954
1d6057d5532be3742418c6e9f4d31536	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella; s__Prevotella_pallens	0.9999999887880905
566bd4330b53728d0056eab0534d20aa	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella; s__Prevotella_nanceiensis	0.9999999767436808
24b6773f247fc2cc2d196f388ab0ba34	d__Bacteria; p__Firmicutes; c__Bacilli; o__Erysipelotrichales; f__Erysipelotrichaceae; g__Solobacterium; s__uncultured_organism	0.8381440487986209
a72bf3ddd359729f9002decac23d917f	d__Bacteria; p__Patescibacteria; c__Saccharimonadia; o__Saccharimonadales; f__Saccharimonadales; g__Saccharimonadales; s__TM7_phylum	0.9995102152107583
258c93a6de110d709af2fbdf6155f888	d__Bacteria; p__Firmicutes; c__Negativicutes; o__Veillonellales-Selenomonadales; f__Veillonellaceae; g__Veillonella; s__Veillonella_atypica	0.7586312979901213
bfdcb383a6c55094c69c92aa89e59692	d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Micrococcales; f__Micrococcaceae; g__Rothia	0.9999986555109097
db45b7d9fd2d75d346f46e54da1f1680	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella; s__Prevotella_melaninogenica	0.9998666769235642
b128010b743d674aea649a1e6c8d7024	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Alloprevotella; s__uncultured_Bacteroidetes	0.9998038480633263
1c881d1c343716eaba6925f453017f5f	d__Bacteria; p__Firmicutes; c__Negativicutes; o__Veillonellales-Selenomonadales; f__Veillonellaceae; g__Veillonella	0.9999999992975516
abbd9cd4c7539a913580b46c6533d6a4	d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae; g__Oribacterium; s__uncultured_organism	0.743129594792283
45de0035be041c2899b969a7551909fc	d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae; g__Stomatobaculum	0.9999973516297664
426b8ecb063fd50b1527095a4d4e1e3d	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Porphyromonadaceae; g__Porphyromonas; s__Porphyromonas_pasteri	0.989084629045606
cbc46987a3339c1e2f92b7793dcc5b7f	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Porphyromonadaceae; g__Porphyromonas; s__Porphyromonas_pasteri	0.9574106880618514
d38dc8f828ec1b94a9c3c3d5c6bfea25	d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Carnobacteriaceae; g__Granulicatella	0.9275836867336477
d28b1d50f9284afbe2ad3a76241c48df	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella; s__Prevotella_histicola	0.9951349861650144
082976916e32656441eea57f6ba6584b	d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus; s__Streptococcus_vestibularis	0.8770754745703253
a2b340b5062fbd4a2ab740f009d292b5	d__Bacteria; p__Patescibacteria; c__Saccharimonadia; o__Saccharimonadales; f__Saccharimonadaceae; g__Candidatus_Saccharimonas; s__TM7_phylum	0.705885983996297
8fb8c1f6884b0748b331871606e93e02	d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus; s__Streptococcus_vestibularis	0.8757027686545097
10c9be08a0f72436f5db3e72e48ea9b3	d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae; g__Lachnoanaerobaculum	0.9999957745009769
653556ac821883b81bd565b59f026e7e	d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae; g__Lachnoanaerobaculum	0.9999956558056663
2e80fccb770935dfcf27695a77015ddd	d__Bacteria; p__Fusobacteriota; c__Fusobacteriia; o__Fusobacteriales; f__Leptotrichiaceae; g__Leptotrichia; s__Leptotrichia_sp.	0.9994147496985286
1a87dc280ccd3798a84e3a42153810a8	d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Micrococcales; f__Micrococcaceae; g__Rothia; s__Rothia_dentocariosa	0.9455887070521966
d7799e4c34227d4b6164a012664f3dba	d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae; g__Lachnoanaerobaculum	0.9999987879707624
1619e21d181d45595f81d752e906398b	d__Bacteria; p__Firmicutes; c__Negativicutes; o__Veillonellales-Selenomonadales; f__Veillonellaceae; g__Veillonella	0.9999999997710276
b505ca3dc5e4f047a2f8c2bc3dcb71f4	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella; s__Prevotella_histicola	0.9952059031014874
3bc7fae7f27d55195215b9de933d3e75	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella; s__Prevotella_pallens	0.9999999844396543
c36f3533ec79233542653e9ad1fdd2e3	d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Carnobacteriaceae; g__Granulicatella	0.9298583318750178
